##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	B50995s2_2.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	11364538
Total Bases	1.7 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.947273703515265	37.0	37.0	37.0	37.0	37.0
2	36.037310183660786	37.0	37.0	37.0	37.0	37.0
3	36.062863004197794	37.0	37.0	37.0	37.0	37.0
4	36.04098943573421	37.0	37.0	37.0	37.0	37.0
5	36.076331655541125	37.0	37.0	37.0	37.0	37.0
6	36.02954066412555	37.0	37.0	37.0	37.0	37.0
7	35.99174607889912	37.0	37.0	37.0	37.0	37.0
8	36.04760651070902	37.0	37.0	37.0	37.0	37.0
9	36.04510944483621	37.0	37.0	37.0	37.0	37.0
10-14	36.066503961709664	37.0	37.0	37.0	37.0	37.0
15-19	36.02055708731846	37.0	37.0	37.0	37.0	37.0
20-24	36.01992207690273	37.0	37.0	37.0	37.0	37.0
25-29	35.97570123836094	37.0	37.0	37.0	37.0	37.0
30-34	35.94784731240284	37.0	37.0	37.0	37.0	37.0
35-39	35.92654508260697	37.0	37.0	37.0	37.0	37.0
40-44	35.90999834749112	37.0	37.0	37.0	37.0	37.0
45-49	35.880026288794134	37.0	37.0	37.0	37.0	37.0
50-54	35.80298569110332	37.0	37.0	37.0	37.0	37.0
55-59	35.77920626425817	37.0	37.0	37.0	37.0	37.0
60-64	35.7561189025018	37.0	37.0	37.0	37.0	37.0
65-69	35.72452726190894	37.0	37.0	37.0	37.0	37.0
70-74	35.63630053417042	37.0	37.0	37.0	37.0	37.0
75-79	35.68519888797944	37.0	37.0	37.0	37.0	37.0
80-84	35.568951698696424	37.0	37.0	37.0	37.0	37.0
85-89	35.56267996112116	37.0	37.0	37.0	37.0	37.0
90-94	35.508864082288255	37.0	37.0	37.0	37.0	37.0
95-99	35.45857244702777	37.0	37.0	37.0	37.0	37.0
100-104	35.48697268643916	37.0	37.0	37.0	37.0	37.0
105-109	35.45301586390929	37.0	37.0	37.0	37.0	37.0
110-114	35.230493646112144	37.0	37.0	37.0	27.4	37.0
115-119	35.16081646257859	37.0	37.0	37.0	27.4	37.0
120-124	35.15218309798427	37.0	37.0	37.0	25.0	37.0
125-129	35.11351528764302	37.0	37.0	37.0	25.0	37.0
130-134	35.11019779246635	37.0	37.0	37.0	27.4	37.0
135-139	34.91789424259922	37.0	37.0	37.0	25.0	37.0
140-144	34.802891644165385	37.0	37.0	37.0	25.0	37.0
145-149	34.66160618231906	37.0	37.0	37.0	25.0	37.0
150	34.635050804528966	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.1476615083684294
1101	2	-0.009205849449948289
1101	3	-0.06233862376446808
1101	4	-0.4552697664973877
1101	5	0.1255006463595265
1101	6	0.03040303802250577
1101	7	-0.22015195044195224
1101	8	-0.1518749277744007
1101	9	0.03946960360114815
1101	10-14	-0.28018907671175697
1101	15-19	-0.17046746059176598
1101	20-24	-0.15691544728231577
1101	25-29	-0.03463397719549022
1101	30-34	-0.10903000729702939
1101	35-39	-0.01813528291976496
1101	40-44	-0.18710027224481252
1101	45-49	-0.1642297503698984
1101	50-54	-0.04689773273317854
1101	55-59	-0.07461651488218024
1101	60-64	-0.13823834498795406
1101	65-69	-0.03231135740410451
1101	70-74	-0.17320717821105092
1101	75-79	-0.2646331540873348
1101	80-84	-0.13614441095825214
1101	85-89	-0.32059940765846306
1101	90-94	-0.24617009500721565
1101	95-99	-0.29850579146750533
1101	100-104	-0.3803429338043429
1101	105-109	-0.4962577460129225
1101	110-114	-0.11248986587062859
1101	115-119	-0.05923024237235097
1101	120-124	-0.11622251401933426
1101	125-129	-0.2241470756502082
1101	130-134	-0.23744441973710195
1101	135-139	-0.40755230659958386
1101	140-144	-0.4381415390999379
1101	145-149	-0.3459045920321415
1101	150	-0.32068612004790964
1102	1	-0.05596141084690487
1102	2	-0.651365428903155
1102	3	-0.4340186036788012
1102	4	-0.4070683246610045
1102	5	-0.04016455870878133
1102	6	-0.08648128190302629
1102	7	0.054883018993528765
1102	8	-0.7846037000733048
1102	9	-0.14273880369319158
1102	10-14	-0.08434835526331597
1102	15-19	-0.2891488852812216
1102	20-24	-0.1181711973946804
1102	25-29	-0.22320587943375614
1102	30-34	-0.16745373623511028
1102	35-39	-0.30698534349937745
1102	40-44	-0.14903685227075414
1102	45-49	-0.28104903465201403
1102	50-54	-0.19249088111953228
1102	55-59	-0.05398443614688375
1102	60-64	-0.23026192775554932
1102	65-69	-0.19224326802417124
1102	70-74	-0.1011834612834761
1102	75-79	-0.14957123766324543
1102	80-84	-0.2854908442674855
1102	85-89	-0.09820267809526939
1102	90-94	-0.36614718559489745
1102	95-99	-0.2521785005502224
1102	100-104	-0.04947269237069207
1102	105-109	-0.18090508576442232
1102	110-114	-0.1765853034413567
1102	115-119	-0.2847967248671921
1102	120-124	0.11931863460084458
1102	125-129	-0.3454612939559567
1102	130-134	-0.2510608902374045
1102	135-139	-0.16305208283991135
1102	140-144	-0.22516034800853646
1102	145-149	-0.41121302740424426
1102	150	0.2128038823190579
1103	1	-0.08751955119429766
1103	2	-0.09734504141729872
1103	3	0.021110652336531643
1103	4	0.010985323505707356
1103	5	-0.10567541492406463
1103	6	-0.1908025366498478
1103	7	0.027344056750422396
1103	8	0.15206233054824025
1103	9	-0.5720262629437514
1103	10-14	-0.1303344178125343
1103	15-19	-0.11554565381365478
1103	20-24	-0.1758334359331002
1103	25-29	-0.1902319563880468
1103	30-34	-0.23917543872187252
1103	35-39	-0.25343070229602205
1103	40-44	-0.37845116221107133
1103	45-49	-0.34401051450505804
1103	50-54	-0.37725374826762703
1103	55-59	-0.1519352062542012
1103	60-64	-0.16874633076449186
1103	65-69	-0.2601589123154966
1103	70-74	-0.22542242433284088
1103	75-79	-0.3502226912055235
1103	80-84	-0.1933902559705416
1103	85-89	-0.19508972991860674
1103	90-94	-0.32355491649943957
1103	95-99	-0.13878580897746673
1103	100-104	-0.09262665202034981
1103	105-109	0.0013401176938643289
1103	110-114	-0.32302797472338085
1103	115-119	-0.19640114421622457
1103	120-124	-0.0905477690477241
1103	125-129	-0.2749790732088755
1103	130-134	-0.16419611791020117
1103	135-139	-0.0686235693848758
1103	140-144	-0.19736338436255352
1103	145-149	-0.43578336100543424
1103	150	-0.6601788020242907
1104	1	0.08607034518644952
1104	2	-0.020001339866652756
1104	3	-0.03180176876264795
1104	4	-0.10223550172745632
1104	5	0.11217309010590526
1104	6	0.08846525294077168
1104	7	-0.6814596706308933
1104	8	0.18678543281664872
1104	9	0.3594011375151638
1104	10-14	-0.10568689316150426
1104	15-19	-0.0687576351443866
1104	20-24	-0.23535667409561967
1104	25-29	-0.25134817551190736
1104	30-34	0.1346002335360481
1104	35-39	0.009931005224267153
1104	40-44	-0.02675342953958193
1104	45-49	0.042672941195888825
1104	50-54	-0.04974732430496687
1104	55-59	-0.16781756078145094
1104	60-64	0.04313685422675917
1104	65-69	-0.1171886014037895
1104	70-74	-0.18651518554477775
1104	75-79	-0.06435325201140074
1104	80-84	-0.06786669964323977
1104	85-89	-0.14610799203785518
1104	90-94	-0.20103343363584258
1104	95-99	-0.09111501785264409
1104	100-104	0.010541244613847311
1104	105-109	-0.0893487090600189
1104	110-114	-0.06021361848129203
1104	115-119	-0.018426775355386837
1104	120-124	-0.11973696115185106
1104	125-129	-0.25981879095896687
1104	130-134	-0.1084930141857825
1104	135-139	-0.03390963457629681
1104	140-144	-0.13783205726488745
1104	145-149	-0.23364302876591125
1104	150	-0.7484075139692195
1105	1	0.0764585082471001
1105	2	-0.2634827385565117
1105	3	-0.20164152192548812
1105	4	-0.580977151173812
1105	5	0.0618893435978336
1105	6	-0.06980704910228752
1105	7	-0.14354008191804724
1105	8	0.1566768131126537
1105	9	0.213624764091513
1105	10-14	-0.17360008930000959
1105	15-19	-0.011243927599934977
1105	20-24	-0.14137718169034486
1105	25-29	-0.07383517074517698
1105	30-34	-0.01612234360393927
1105	35-39	-0.2009001510748547
1105	40-44	-0.08284049829422457
1105	45-49	-0.19371959260163862
1105	50-54	0.09580172755327254
1105	55-59	-0.07408377028218638
1105	60-64	-0.09628181344181996
1105	65-69	0.021743527837031706
1105	70-74	-0.16661089846547839
1105	75-79	-0.009512262230053636
1105	80-84	-0.1511699171488914
1105	85-89	0.004665941936167428
1105	90-94	-0.14473201767387422
1105	95-99	0.030458501482534928
1105	100-104	-0.22014662611830005
1105	105-109	-0.2664070706959194
1105	110-114	-0.09634315122870873
1105	115-119	0.0317518247924653
1105	120-124	-0.03623237079693098
1105	125-129	-0.05672737984885856
1105	130-134	-0.12041077297354974
1105	135-139	-0.09146226519496992
1105	140-144	-0.07777645673456135
1105	145-149	-0.23027618284586993
1105	150	0.21755101403579857
1106	1	-0.0213755227143011
1106	2	-0.14639512216652406
1106	3	-0.28375756547266207
1106	4	0.045322003130124244
1106	5	0.03234218488982066
1106	6	-0.24611237290611854
1106	7	-0.12543022685383676
1106	8	-0.30342550567015536
1106	9	-0.0497749150944955
1106	10-14	-0.10647593048759063
1106	15-19	-0.08041636037611255
