##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	B50983_2.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	12580241
Total Bases	1.8 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.13569763886081	37.0	37.0	37.0	37.0	37.0
2	36.16141590610228	37.0	37.0	37.0	37.0	37.0
3	36.181512261967	37.0	37.0	37.0	37.0	37.0
4	36.21583871088002	37.0	37.0	37.0	37.0	37.0
5	36.220105799245026	37.0	37.0	37.0	37.0	37.0
6	36.18084407127018	37.0	37.0	37.0	37.0	37.0
7	36.174501346993274	37.0	37.0	37.0	37.0	37.0
8	36.26241651491414	37.0	37.0	37.0	37.0	37.0
9	36.24401074669396	37.0	37.0	37.0	37.0	37.0
10-14	36.234835771429175	37.0	37.0	37.0	37.0	37.0
15-19	36.2160345735825	37.0	37.0	37.0	37.0	37.0
20-24	36.19306173864237	37.0	37.0	37.0	37.0	37.0
25-29	36.15152312264924	37.0	37.0	37.0	37.0	37.0
30-34	36.11734643239346	37.0	37.0	37.0	37.0	37.0
35-39	36.09927304254346	37.0	37.0	37.0	37.0	37.0
40-44	36.07896058589021	37.0	37.0	37.0	37.0	37.0
45-49	36.04772568347458	37.0	37.0	37.0	37.0	37.0
50-54	36.00183025110568	37.0	37.0	37.0	37.0	37.0
55-59	35.97706862690468	37.0	37.0	37.0	37.0	37.0
60-64	35.95877883420516	37.0	37.0	37.0	37.0	37.0
65-69	35.90350952736121	37.0	37.0	37.0	37.0	37.0
70-74	35.88048856933663	37.0	37.0	37.0	37.0	37.0
75-79	35.85818274864528	37.0	37.0	37.0	37.0	37.0
80-84	35.79506699434454	37.0	37.0	37.0	37.0	37.0
85-89	35.77159539312483	37.0	37.0	37.0	37.0	37.0
90-94	35.72956699319194	37.0	37.0	37.0	37.0	37.0
95-99	35.67420446078894	37.0	37.0	37.0	37.0	37.0
100-104	35.65358612764255	37.0	37.0	37.0	37.0	37.0
105-109	35.59720948112202	37.0	37.0	37.0	37.0	37.0
110-114	35.52951284478572	37.0	37.0	37.0	37.0	37.0
115-119	35.46377820583882	37.0	37.0	37.0	37.0	37.0
120-124	35.42169581647919	37.0	37.0	37.0	37.0	37.0
125-129	35.34157916370601	37.0	37.0	37.0	37.0	37.0
130-134	35.321012578375885	37.0	37.0	37.0	34.6	37.0
135-139	35.18804137377019	37.0	37.0	37.0	25.0	37.0
140-144	35.10056812107176	37.0	37.0	37.0	25.0	37.0
145-149	35.047553095365984	37.0	37.0	37.0	25.0	37.0
150	34.918421515136316	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.01414543179237171
1101	2	-0.10107026472477543
1101	3	-0.13446795663512745
1101	4	-0.051653203037965056
1101	5	-0.10680436489165857
1101	6	-0.026360458561299538
1101	7	-0.1989460602748565
1101	8	-0.061143273226484496
1101	9	-0.05333498893186572
1101	10-14	-0.08046872700023755
1101	15-19	-0.1621241362169883
1101	20-24	-0.09514733423893063
1101	25-29	-0.09772328653926365
1101	30-34	-0.09602975124838764
1101	35-39	-0.11228485046620307
1101	40-44	-0.09597371123047083
1101	45-49	-0.13803360822346633
1101	50-54	-0.10001594016060977
1101	55-59	-0.09333799289782974
1101	60-64	-0.16581733949534083
1101	65-69	-0.14826136036383986
1101	70-74	-0.18488153313166578
1101	75-79	-0.17503579293675386
1101	80-84	-0.17447949438624732
1101	85-89	-0.20585423311970885
1101	90-94	-0.17750951223308675
1101	95-99	-0.10572759489082983
1101	100-104	-0.03138105193156804
1101	105-109	-0.23993775952963148
1101	110-114	-0.2403220342202843
1101	115-119	-0.2760397845722551
1101	120-124	-0.17308742036154
1101	125-129	-0.2467622421964677
1101	130-134	-0.28662681783709587
1101	135-139	-0.21713779892827034
1101	140-144	-0.14645170370744154
1101	145-149	-0.32946521089923664
1101	150	-0.0864147581667396
1102	1	0.049222867507168644
1102	2	-0.1514653330221094
1102	3	-0.06509725915088183
1102	4	-0.08782112981987211
1102	5	-0.11787218926633614
1102	6	-0.03416348547195014
1102	7	-0.14824555561414599
1102	8	-0.1464638599476089
1102	9	-0.09548116815300034
1102	10-14	-0.10080881616681125
1102	15-19	-0.1143723099937688
1102	20-24	-0.1008636419242066
1102	25-29	-0.11162321661903718
1102	30-34	-0.07757071809086824
1102	35-39	-0.12318387120257768
1102	40-44	-0.18424794602252348
1102	45-49	-0.1465863649212764
1102	50-54	-0.1656321351950183
1102	55-59	-0.18578172087215705
1102	60-64	-0.18520788917251707
1102	65-69	-0.16400264206684056
1102	70-74	-0.20220530065232367
1102	75-79	-0.1316845273631131
1102	80-84	-0.1405918157113888
1102	85-89	-0.10975798261740977
1102	90-94	-0.16489516603110133
1102	95-99	-0.04264615875457167
1102	100-104	-0.0796243801694203
1102	105-109	-0.1843712637562973
1102	110-114	-0.19899458600998088
1102	115-119	-0.23633790404306865
1102	120-124	-0.15942653608873059
1102	125-129	-0.24386436640745757
1102	130-134	-0.31230022511787325
1102	135-139	-0.24142119564051967
1102	140-144	-0.1284678471138534
1102	145-149	-0.34543386650217656
1102	150	-0.30983572153223093
1103	1	0.10121391971573246
1103	2	0.037707951750341806
1103	3	-0.010995438679998415
1103	4	0.033301728077738346
1103	5	-0.08737550815505557
1103	6	0.028544120712815868
1103	7	-0.07537613604029048
1103	8	-0.11447381942400625
1103	9	-0.06360466116394292
1103	10-14	0.03294785111810228
1103	15-19	0.033355052150099596
1103	20-24	0.06509653141114313
