##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	B009953_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	15890575
Total Bases	2.3 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.40050407238253	37.0	37.0	37.0	37.0	37.0
2	36.36575712332625	37.0	37.0	37.0	37.0	37.0
3	36.42200367198795	37.0	37.0	37.0	37.0	37.0
4	36.418616255233054	37.0	37.0	37.0	37.0	37.0
5	36.45113930741965	37.0	37.0	37.0	37.0	37.0
6	36.40464036071697	37.0	37.0	37.0	37.0	37.0
7	36.34914104744479	37.0	37.0	37.0	37.0	37.0
8	36.42864005865112	37.0	37.0	37.0	37.0	37.0
9	36.39812511504461	37.0	37.0	37.0	37.0	37.0
10-14	36.40853225260886	37.0	37.0	37.0	37.0	37.0
15-19	36.38509224493134	37.0	37.0	37.0	37.0	37.0
20-24	36.36121392712347	37.0	37.0	37.0	37.0	37.0
25-29	36.29846460559168	37.0	37.0	37.0	37.0	37.0
30-34	36.28178207522384	37.0	37.0	37.0	37.0	37.0
35-39	36.25083910431183	37.0	37.0	37.0	37.0	37.0
40-44	36.22416286383596	37.0	37.0	37.0	37.0	37.0
45-49	36.21583006278879	37.0	37.0	37.0	37.0	37.0
50-54	36.1909744486905	37.0	37.0	37.0	37.0	37.0
55-59	36.16828034227836	37.0	37.0	37.0	37.0	37.0
60-64	36.132997943749686	37.0	37.0	37.0	37.0	37.0
65-69	36.12462690620069	37.0	37.0	37.0	37.0	37.0
70-74	36.093593189673754	37.0	37.0	37.0	37.0	37.0
75-79	36.059897580798676	37.0	37.0	37.0	37.0	37.0
80-84	36.058624096359004	37.0	37.0	37.0	37.0	37.0
85-89	36.016914856762575	37.0	37.0	37.0	37.0	37.0
90-94	36.01341484496313	37.0	37.0	37.0	37.0	37.0
95-99	35.94807552275485	37.0	37.0	37.0	37.0	37.0
100-104	35.86855409574544	37.0	37.0	37.0	37.0	37.0
105-109	35.85923682434399	37.0	37.0	37.0	37.0	37.0
110-114	35.833247506776814	37.0	37.0	37.0	37.0	37.0
115-119	35.85471854857361	37.0	37.0	37.0	37.0	37.0
120-124	35.77279139364057	37.0	37.0	37.0	37.0	37.0
125-129	35.641875325468085	37.0	37.0	37.0	37.0	37.0
130-134	35.61767520684431	37.0	37.0	37.0	37.0	37.0
135-139	35.58019592116711	37.0	37.0	37.0	37.0	37.0
140-144	35.546633611433194	37.0	37.0	37.0	37.0	37.0
145-149	35.59846078571732	37.0	37.0	37.0	37.0	37.0
150	35.44015493460746	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.07017180004071832
1101	2	-0.15878721520203953
1101	3	0.023890089759504463
1101	4	-0.009020624578347736
1101	5	-0.11326216925215249
1101	6	-0.19330525184566483
1101	7	-0.1568061578777602
1101	8	-0.06959447387063733
1101	9	-0.012956352817788286
1101	10-14	-0.055116293299832364
1101	15-19	-0.024962223046465226
1101	20-24	-0.35745785718923884
1101	25-29	-0.10037689032103003
1101	30-34	-0.07403016855358402
1101	35-39	-0.03491373206682624
1101	40-44	-0.10662708505906693
1101	45-49	0.030449352004588093
1101	50-54	-0.08036163380943151
1101	55-59	-0.11121370360525873
1101	60-64	-0.28292085386695476
1101	65-69	-0.22872271338658123
1101	70-74	-0.4257670017732025
1101	75-79	-0.1880302039967532
1101	80-84	-0.3207012205755291
1101	85-89	-0.19487097364559958
1101	90-94	-0.18834972446595089
1101	95-99	-0.2163360000100596
1101	100-104	-0.18950760017595059
1101	105-109	-0.2048733358699053
1101	110-114	-0.22052556067422557
1101	115-119	-0.10993169030894023
1101	120-124	-0.23008129917814557
1101	125-129	-0.20089613583216703
1101	130-134	-0.4426039380849289
1101	135-139	-0.3434948968796121
1101	140-144	-0.6733679723351003
1101	145-149	-0.4960997206803768
1101	150	-0.9201893470271543
1102	1	-0.12873203625495222
1102	2	-0.06768823471409036
1102	3	-0.07163471783905351
1102	4	-0.11627078868934149
1102	5	2.1409317056964028E-4
1102	6	-0.1515281145749583
1102	7	0.0023694065672614784
1102	8	-0.18685749847584532
1102	9	-0.1620460207768062
1102	10-14	-0.2219142414284292
1102	15-19	-0.16202931980419066
1102	20-24	-0.17690945368562438
1102	25-29	-0.18675356596907022
1102	30-34	-0.20988333893158995
1102	35-39	-0.32927822434348997
1102	40-44	-0.2834701439119982
1102	45-49	-0.14235069172901404
1102	50-54	-0.3746228087561505
1102	55-59	-0.2157715454709006
1102	60-64	-0.28569573758132805
1102	65-69	-0.4223600465697359
1102	70-74	-0.27787589403718727
1102	75-79	-0.34751174964952014
1102	80-84	-0.17581779877771453
1102	85-89	-0.23202014789890768
1102	90-94	-0.3027475163151365
1102	95-99	-0.3837686243076419
1102	100-104	-0.43162305687968683
1102	105-109	-0.27221892194415176
1102	110-114	-0.27019527080052796
1102	115-119	-0.46727156549658844
1102	120-124	-0.22727568315034574
1102	125-129	-0.33903093299449694
1102	130-134	-0.5708121980156307
1102	135-139	-0.43274223898548314
1102	140-144	-0.3230790951886817
1102	145-149	-0.5256008716572111
1102	150	-0.17783799726922922
1103	1	-0.0852753393202903
1103	2	-0.07873988860384884
1103	3	-9.781258274443871E-5
1103	4	-0.29262653493202606
1103	5	0.013125461067033939
1103	6	0.01192678648348533
1103	7	-0.0617167169216728
1103	8	-0.1579621307140684
1103	9	-0.19864050631439056
1103	10-14	-0.002649400195103624
1103	15-19	-0.127903111796833
