##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	B50995s2_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	11364538
Total Bases	1.7 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.09256751132338	37.0	37.0	37.0	37.0	37.0
2	36.13893332047462	37.0	37.0	37.0	37.0	37.0
3	36.257918975676795	37.0	37.0	37.0	37.0	37.0
4	36.27921918163325	37.0	37.0	37.0	37.0	37.0
5	36.32528167885047	37.0	37.0	37.0	37.0	37.0
6	36.27285218281641	37.0	37.0	37.0	37.0	37.0
7	36.23402843124815	37.0	37.0	37.0	37.0	37.0
8	36.33083667809461	37.0	37.0	37.0	37.0	37.0
9	36.29300759960502	37.0	37.0	37.0	37.0	37.0
10-14	36.30728809213362	37.0	37.0	37.0	37.0	37.0
15-19	36.2858995059896	37.0	37.0	37.0	37.0	37.0
20-24	36.26103019762	37.0	37.0	37.0	37.0	37.0
25-29	36.19341382817321	37.0	37.0	37.0	37.0	37.0
30-34	36.177529627689225	37.0	37.0	37.0	37.0	37.0
35-39	36.14194570865969	37.0	37.0	37.0	37.0	37.0
40-44	36.11516732136405	37.0	37.0	37.0	37.0	37.0
45-49	36.107069746258055	37.0	37.0	37.0	37.0	37.0
50-54	36.0830569267312	37.0	37.0	37.0	37.0	37.0
55-59	36.05548515918553	37.0	37.0	37.0	37.0	37.0
60-64	36.015936697118704	37.0	37.0	37.0	37.0	37.0
65-69	36.00589672892994	37.0	37.0	37.0	37.0	37.0
70-74	35.96904926535509	37.0	37.0	37.0	37.0	37.0
75-79	35.932397251872445	37.0	37.0	37.0	37.0	37.0
80-84	35.93422389893896	37.0	37.0	37.0	37.0	37.0
85-89	35.888131132123455	37.0	37.0	37.0	37.0	37.0
90-94	35.88533869128688	37.0	37.0	37.0	37.0	37.0
95-99	35.810599040629725	37.0	37.0	37.0	37.0	37.0
100-104	35.71864339755827	37.0	37.0	37.0	37.0	37.0
105-109	35.711005198803505	37.0	37.0	37.0	37.0	37.0
110-114	35.681299882142156	37.0	37.0	37.0	37.0	37.0
115-119	35.71341061114847	37.0	37.0	37.0	37.0	37.0
120-124	35.61699099426655	37.0	37.0	37.0	37.0	37.0
125-129	35.47035008374296	37.0	37.0	37.0	37.0	37.0
130-134	35.44052581811948	37.0	37.0	37.0	37.0	37.0
135-139	35.40373071039052	37.0	37.0	37.0	34.6	37.0
140-144	35.370573832389844	37.0	37.0	37.0	34.6	37.0
145-149	35.42649207561276	37.0	37.0	37.0	37.0	37.0
150	35.253068096564945	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.11273268937444669
1101	2	-0.13923659973542613
1101	3	-0.10871274347696414
1101	4	-0.022036333275806896
1101	5	-0.1290810214550291
1101	6	-0.19769141778996158
1101	7	-0.2748761903805672
1101	8	-0.043793997281944996
1101	9	-0.04995074467603189
1101	10-14	-0.10268078508588019
1101	15-19	-0.048426930489952724
1101	20-24	-0.27519895095982605
1101	25-29	-0.07675533545420166
1101	30-34	-0.09503180953745272
1101	35-39	-0.07865580452666876
1101	40-44	-0.2169773900384584
1101	45-49	-0.02861034332057244
1101	50-54	-0.15056254128147373
1101	55-59	-0.133714502357968
1101	60-64	-0.2814506835635342
1101	65-69	-0.26588386490363547
1101	70-74	-0.40860769452091716
1101	75-79	-0.2772038038497868
1101	80-84	-0.25344891405561754
1101	85-89	-0.19542108618995968
1101	90-94	-0.22907691752828896
1101	95-99	-0.19610504710451693
1101	100-104	-0.20525984709344414
1101	105-109	-0.31069936399273246
1101	110-114	-0.2710844344372063
1101	115-119	-0.21300215178787596
1101	120-124	-0.26433557664500995
1101	125-129	-0.19322281138980912
1101	130-134	-0.4674688568679315
1101	135-139	-0.32015620492737185
1101	140-144	-0.6747281994952345
1101	145-149	-0.5437855087063284
1101	150	-0.8490985969759777
1102	1	-0.11265954024700875
1102	2	-0.02390230662591364
1102	3	-0.12839305304151338
1102	4	-0.15104200664546852
1102	5	-0.06603318160625804
1102	6	-0.1115773262334443
1102	7	0.016097941979744235
1102	8	0.08728987793522691
1102	9	-0.1835210513689276
1102	10-14	-0.04203555867336917
1102	15-19	-0.15569875232806396
1102	20-24	-0.19330227394260646
1102	25-29	-0.09072381616599046
1102	30-34	-0.19060928995569526
1102	35-39	-0.19747049478802126
1102	40-44	-0.3261832236973419
1102	45-49	-0.03515581668326462
1102	50-54	-0.2991520568074577
1102	55-59	-0.21862728719634816
1102	60-64	-0.1257020086328282
1102	65-69	-0.23630842691125054
1102	70-74	-0.1701239705212032
1102	75-79	-0.30712965491113664
1102	80-84	-0.18962556568465772
1102	85-89	-0.27354001006088424
1102	90-94	-0.2433687876575945
1102	95-99	-0.35405892865595234
1102	100-104	-0.4430705352350728
1102	105-109	-0.16103535486474385
1102	110-114	-0.321604799441765
1102	115-119	-0.3714492309496009
1102	120-124	-0.096035533617993
1102	125-129	-0.1996248613541809
1102	130-134	-0.5497062363275944
1102	135-139	-0.2470685355384319
1102	140-144	-0.22363350204034305
1102	145-149	-0.3130076779389057
1102	150	-0.4648002328651799
1103	1	-0.07918520198029455
1103	2	-0.1479633562078675
1103	3	-0.09415411686730124
1103	4	-0.12510480311192396
1103	5	-0.03544657779159621
1103	6	-0.1330451929649712
1103	7	0.0037058120975359543
1103	8	0.09634411466763737
1103	9	-0.3439065484650641
1103	10-14	-0.012082133301611009
1103	15-19	-0.18079368878178315
1103	20-24	-0.19727012051777137
1103	25-29	-0.14868651883818274
1103	30-34	-0.004589740974395795
1103	35-39	-0.16676241531284575
1103	40-44	-0.08942232380994142
1103	45-49	-0.47135878853692503
1103	50-54	-0.09930040761410908
1103	55-59	-0.13226293009016388
1103	60-64	-0.40121794425072466
1103	65-69	-0.11470699070344637
1103	70-74	-0.07393567249732769
1103	75-79	-0.21068658050191402
1103	80-84	-0.20372157983172912
1103	85-89	-0.1985975900614747
1103	90-94	-0.19880764535638917
1103	95-99	-0.24777041321215165
1103	100-104	-0.29900738939171845
1103	105-109	-4.149689913930388E-4
1103	110-114	-0.30556893724676115
1103	115-119	-0.3057959364598162
1103	120-124	-0.34527348884936515
1103	125-129	-0.10699107015794596
1103	130-134	-0.45326746194175627
1103	135-139	0.013122116748242263
1103	140-144	-0.5177567138353112
1103	145-149	-0.12375021135143527
1103	150	-0.8474243758839535
1104	1	-0.024378621901185227
1104	2	0.14505292681857895
1104	3	0.03406359412583271
1104	4	-0.14899951753206864
1104	5	-0.05699550101951445
1104	6	-0.10450203714781736
1104	7	-0.16149181406962754
1104	8	-0.0930178570911977
1104	9	0.10324709007277733
1104	10-14	-0.10271110193541944
1104	15-19	-0.1271295359764082
1104	20-24	-0.0893243595242339
1104	25-29	-0.04259689882939455
1104	30-34	-0.1091505522406635
1104	35-39	-0.06673410403983837
1104	40-44	-0.08793234195611888
1104	45-49	-0.164547635513145
1104	50-54	-0.06810462033153186
1104	55-59	-0.04501945044597022
1104	60-64	-0.21344787492855488
1104	65-69	-0.19680375054565502
1104	70-74	-0.3442721991625035
1104	75-79	-0.1312753471280459
1104	80-84	-0.2343371208331959
1104	85-89	-0.01915373131586051
1104	90-94	-0.12310222280390093
1104	95-99	-0.1057680782062036
1104	100-104	-0.030715745531352923
1104	105-109	-0.2718391878024775
1104	110-114	-0.08443416749830135
1104	115-119	-0.27442165334169033
1104	120-124	-0.2985927833863684
1104	125-129	-0.13719785030337306
1104	130-134	-0.25906884622819604
1104	135-139	-0.44426672106052223
1104	140-144	-0.4912454985267303
1104	145-149	-0.2995438032970128
1104	150	-0.37219404345568563
1105	1	0.020740384046746385
1105	2	0.03946462752716684
1105	3	-0.053283568611810495
1105	4	0.037942061366223356
1105	5	-0.04545913429928561
1105	6	0.15219023135112053
1105	7	0.006762634716118043
1105	8	-0.015732579338568087
1105	9	-0.031072654872964733
1105	10-14	-0.001280543808263701
1105	15-19	-0.10407329078266514
1105	20-24	-0.07242796112494432
1105	25-29	-0.08763413929155917
1105	30-34	-0.007632687495643609
1105	35-39	-0.027941584297863642
1105	40-44	-0.1301595526988919
1105	45-49	-0.08299892963778888
1105	50-54	-0.10346677385873448
1105	55-59	-0.13129622864256163
1105	60-64	-0.17904258030926457
1105	65-69	-0.05073437286885252
1105	70-74	-0.17345531465726793
1105	75-79	-0.24424578586407364
1105	80-84	0.054725630460524144
1105	85-89	-0.1417273574191853
