"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"M14656_at",5.16022492459991,7.26459150598434,17.6389972020951,3.66593148785888e-09,1.07521770538901e-05,11.482007337203
"U65217_i_at",4.06620701179096,8.05002793436026,5.34558645848499,0.000272557637296508,0.00431337167369059,0.436294641312523
"rc_AI228025_s_at",-3.16481800862957,7.88942800187298,-8.03984490183218,8.15860250654167e-06,0.000379828272248996,4.05142438355264
"X15512_at",3.12392318291228,7.61855695440221,15.7656381733218,1.1499968499776e-08,1.12431358699476e-05,10.4619251259972
"rc_AI233219_at",-3.00694810959958,6.33417127372904,-16.5554847743545,6.99817763974194e-09,1.12431358699476e-05,10.9099522217437
"AF015304_at",-2.94045445080283,8.36001648801629,-19.2302581256619,1.51321112839635e-09,6.65737235937974e-06,12.242647755437
"rc_AI639246_at",-2.93985178849732,7.6029783067038,-11.5780628179604,2.52066343426063e-07,5.2826790292623e-05,7.53905414597362
"rc_AA874803_g_at",-2.86479978236631,8.17968833192351,-19.536875136365,1.28625702670541e-09,6.65737235937974e-06,12.3793552814816
"rc_AI176456_at",2.84964530757907,9.09189954226767,9.6287961287731,1.50576872666839e-06,0.000120447809326865,5.76482500193686
"X73371_at",2.81938196260938,7.93949560117688,15.8755853464213,1.07170813181926e-08,1.12431358699476e-05,10.5259552544123
"E05551cds_s_at",-2.7052785485993,7.7690105050963,-13.2419768125582,6.66046414002664e-08,3.08449599832076e-05,8.82507877641923
"AJ132352_at",-2.70114432492453,10.0308401411801,-10.4824132253438,6.65170081481622e-07,9.00435622608737e-05,6.58161906337441
"Z46614cds_at",-2.68504280821594,10.1933595499861,-10.3231948088477,7.71345536697528e-07,9.05961364746016e-05,6.43423481203073
"rc_AA946503_at",2.67863987955928,10.4792120942176,9.66960319833604,1.44616547385453e-06,0.000117822314855982,5.80540471078591
"M86835_at",-2.64448726851027,7.09854634922943,-11.618359983633,2.43600905799256e-07,5.2826790292623e-05,7.57247936217887
"M84719_at",-2.63905252061901,8.47904710434057,-10.228351670039,8.43249285992497e-07,9.30004629135871e-05,6.34538697387856
"J00692_at",2.62385830861729,6.55838295427093,5.72786521580378,0.000156359199355935,0.00290535656134138,1.01080371595901
"rc_AA899854_at",2.52260273962631,7.08894764202615,15.9737646414626,1.00669822726847e-08,1.12431358699476e-05,10.5826678074777
"L07114_at",2.51665524777398,7.01329662047076,11.890415083641,1.93942004923077e-07,5.2826790292623e-05,7.79501331177828
"rc_AI102562_at",2.46330425413125,9.43284782804036,13.7212116191105,4.66689875263199e-08,2.74650459430335e-05,9.16258862085074
"L36664_s_at",-2.44561831861617,9.46795449963599,-10.4347492746464,6.95184720872352e-07,9.05961364746016e-05,6.53772832908793
"rc_AI639294_at",-2.39288568970253,9.37943046140941,-14.5778651879058,2.53900562343337e-08,2.03097368005365e-05,9.73336291451008
"M32167_g_at",-2.36355941490887,7.69900482841933,-9.06463442327328,2.67068630096756e-06,0.000179384494368043,5.18702444907241
"S76779_s_at",2.3427629547764,12.007846866967,16.4741857134748,7.35768596296911e-09,1.12431358699476e-05,10.8650927817814
"D12524_at",-2.34032501366166,5.97236677616002,-9.8033940148934,1.26803280074004e-06,0.00011057303432983,5.93733827147865
"rc_AA818970_s_at",-2.28713835061467,6.31014527014118,-8.77322155885866,3.63105567489553e-06,0.000221872631134762,4.8758145535875
"rc_AA800790_at",-2.27862185621965,7.09037459414424,-9.96402953680042,1.08499073840177e-06,0.000103555762023846,6.09352559511565
"S65355_g_at",-2.27420342158829,6.69630096871602,-7.37357517539286,1.78799918912297e-05,0.000646662669321953,3.24755791422382
"rc_AI639107_at",2.26313244369055,8.11671348550508,16.1629413357885,8.93237435307877e-09,1.12431358699476e-05,10.6907263155637
"U67136_at",-2.25607440111392,6.86403956408558,-9.92152699761022,1.13045198198114e-06,0.000103612989473459,6.05243291282222
"Y12009_at",2.24959238007189,6.4315985400889,11.3986257149962,2.93849257944053e-07,5.38662420968692e-05,7.3887356923551
"rc_AI180288_s_at",-2.24833476486431,6.01869664115867,-7.45862626744098,1.61311716276106e-05,0.000611802496342006,3.35324327009352
"M11794cds#2_f_at",2.24759438474233,9.80774055792556,12.4258053892035,1.25453503323185e-07,4.10814305949785e-05,8.2175870886074
"X51529_at",2.24526347574583,8.24423669670948,8.2270420307414,6.60128882931998e-06,0.000325220228022425,4.26766081067528
"AF037272_at",-2.22913229675191,9.03843885294708,-13.9259385693432,4.02267739344999e-08,2.7227337219205e-05,9.30269061977184
"L27487_at",-2.21839266549008,9.16718663945448,-8.66213563464809,4.0907436273329e-06,0.00023837386209869,4.75479712695054
"rc_AA850734_at",-2.1768929114567,9.48527634236389,-9.33471120673592,2.02292367624387e-06,0.000148431088816208,5.46759348398917
"X17053mRNA_s_at",2.17488332112319,6.98284407276093,9.54842519074083,1.6311050374693e-06,0.000126338541446757,5.6844331016267
"L20913_s_at",-2.16449684430799,9.03309025266189,-11.5776415403231,2.52156516909895e-07,5.2826790292623e-05,7.53870407005501
"rc_AI227608_s_at",-2.16002982662449,7.71830602741626,-12.1220601075372,1.60293903614168e-07,4.54976147710021e-05,7.98029500416596
"U27201_at",-2.15975818090324,9.01836769443204,-7.09700097582306,2.51346648645474e-05,0.000822155822093503,2.89744488557327
"rc_AI233225_at",-2.15031082408858,7.30968740922583,-7.55036355277668,1.44495483717237e-05,0.000570141596963215,3.46621048107983
"U66298_at",-2.12626086208902,7.95510032814619,-10.4152179543979,7.0790622592948e-07,9.05961364746016e-05,6.51968649408451
"rc_AI104567_g_at",-2.11860082710387,5.62400514458311,-9.05212108380581,2.70571199164182e-06,0.000180034524670775,5.17384403538607
"AF009329_at",2.10737307281371,7.3623700235948,9.24737490104901,2.21148656554162e-06,0.000160817109836369,5.37767393223906
"D63665_at",2.08300498495543,7.41046284085923,11.4787008938005,2.74339480760918e-07,5.38662420968692e-05,7.45611708217276
"rc_AI639501_s_at",-2.07397542588965,8.40856435670051,-8.83713580667494,3.39217374970141e-06,0.000213892540316537,4.94484047327005
"rc_AA893662_at",2.07322994111979,6.59936945580384,8.04366804346911,8.12308836341095e-06,0.000379828272248996,4.0558816596527
"rc_AA849036_at",-2.07258976001597,8.20146010000656,-10.7557009863256,5.18117787803987e-07,7.86020416359876e-05,6.82954036487001
"rc_AA800722_at",-2.06451469347944,8.77132282212679,-10.3481527326871,7.53550886981379e-07,9.05961364746016e-05,6.45748351709464
"rc_AA900769_s_at",-2.06279147965598,9.00475715643924,-9.65975676075496,1.46030913581394e-06,0.000117883120055292,5.79562773491353
"rc_AI639227_at",2.05607740549176,10.5294319707374,11.8209610445417,2.05474912108224e-07,5.2826790292623e-05,7.73871432181708
"U52663mRNA#3_s_at",-2.04853735176111,8.4651271504257,-5.75689109561214,0.000150024982073306,0.00282066200269877,1.05355980990235
"X16262_s_at",-2.03893355538429,7.3979093010235,-11.6736396905368,2.32487363128276e-07,5.2826790292623e-05,7.61813593064537
"L36088_at",-2.03891448262335,9.03923615949444,-13.3612648665242,6.08960662570713e-08,3.08449599832076e-05,8.91036848758953
"M64711_at",-2.02500003305699,7.47594448466901,-9.94595074968868,1.10408072086142e-06,0.000103555762023846,6.07606685648016
"rc_AA942685_at",-2.02139202290705,7.64538975929196,-10.6625421083337,5.63834378430758e-07,8.26863115968707e-05,6.74573547713851
"X71127_at",2.01690705027996,9.32264784128344,12.8429978968327,9.03612368182906e-08,3.45690662071365e-05,8.53343801261183
"X57764_s_at",-2.01538741628825,7.01937174810223,-8.94473620450021,3.02759873409495e-06,0.000198804785532101,5.06006444112787
"rc_AA998164_s_at",2.00198103917846,4.65180875993778,10.0196152086698,1.02850663389635e-06,0.00010283897581425,6.14701689338556
"U17919_s_at",2.00078412156056,7.12013063877206,12.9835264043109,8.10787267140132e-08,3.39719864931715e-05,8.63729637804148
"M24067_at",1.99768094303141,7.37039451131321,12.6158499478877,1.07907465637529e-07,3.79791116057847e-05,8.36288363345714
"U90121_at",-1.99170092212947,8.11837590962996,-10.2254576358477,8.45554839537103e-07,9.30004629135871e-05,6.34266336758656
"U75404UTR#1_s_at",-1.99076385163733,9.22820963088328,-10.0618271381239,9.8774660972061e-07,9.98986484934673e-05,6.18744981603593
"D89730_g_at",-1.98257602769545,5.9890837491718,-6.20088568166608,8.08578097103052e-05,0.00181496905010453,1.69242692922424
"rc_AA874803_at",-1.97982216253749,7.85937526925029,-13.2972755870556,6.38889115954191e-08,3.08449599832076e-05,8.86472397193887
"X71127_g_at",1.97913261545364,8.77964127848347,11.7887929450795,2.11067585567733e-07,5.2826790292623e-05,7.71252083217605
"X98517_at",1.9784806838217,5.24504576686877,6.46521146586563,5.66742250112538e-05,0.00140869069455938,2.05941136581307
"U03734_at",-1.9761499041331,10.5403054673905,-12.1441611119033,1.57432365609806e-07,4.54976147710021e-05,7.99777512033467
"Z29649_at",-1.96820821591219,8.5049290901043,-12.2938227163312,1.39458748373065e-07,4.32719085626375e-05,8.11525539977759
"AF071204_g_at",-1.96250362846564,5.55893622954475,-6.6445345549721,4.47649388568334e-05,0.00120824140184441,2.30281133388783
"X60767mRNA_s_at",1.96075879953879,5.84445835543674,10.2954420804966,7.91670569389014e-07,9.05961364746016e-05,6.40831852413147
"AF001898_at",-1.95278810271501,10.3412046698659,-10.6181609713259,5.87140390242853e-07,8.33265853830139e-05,6.70555492477915
"U23146cds_s_at",-1.94748491979068,7.10887027320145,-10.2939142243365,7.92806285776148e-07,9.05961364746016e-05,6.40688980126736
"X06801cds_i_at",-1.94675966683435,8.49831081373459,-8.76341164529213,3.66930672121053e-06,0.000222663654068493,4.86518128516499
"D10666_at",-1.94426375040804,5.74815059584006,-11.1164833282539,3.75586994868586e-07,6.60957993569738e-05,7.14738191563087
"X04979_at",1.93519672354425,12.6825993702786,13.3652670842009,6.07140230416913e-08,3.08449599832076e-05,8.91321512944207
"D00680_at",-1.93464602247341,10.3068960300297,-9.96954885722123,1.07923434889184e-06,0.000103555762023846,6.09884962779972
"rc_AA799497_at",-1.9332155228589,8.63717287765306,-14.6815679180804,2.36388611013242e-08,2.03097368005365e-05,9.79977794333112
"D89730_at",-1.92437737681954,8.94754324477771,-8.644092123017,4.17118718889975e-06,0.000241462342599532,4.7350138956881
"rc_AA893717_at",1.9240188424739,6.92432294177891,10.8445886403848,4.78232952620063e-07,7.41936507412757e-05,6.90883168152227
"X12459_at",1.92044963790554,9.05815624824563,10.8390291347131,4.80627127202263e-07,7.41936507412757e-05,6.90389145246566
"M28671_at",1.90794397955457,8.11135812218797,4.66156098444175,0.000775901897652802,0.00911503444251936,-0.643794225724638
"AF087943_s_at",1.90640679301735,9.19901847146151,10.2969050730386,7.90584725087968e-07,9.05961364746016e-05,6.40968639934743
"rc_AI639162_at",-1.90606990802299,7.77893930100319,-10.598291189485,5.97912220089797e-07,8.35084067392083e-05,6.68751193938731
"rc_AA945907_at",-1.90180292009244,6.22755684476471,-12.9870000762071,8.08628505760352e-08,3.39719864931715e-05,8.63984780267126
"M29853_at",-1.89531930764941,9.39680536880281,-7.82279589915917,1.04782297387601e-05,0.000451950703290931,3.7955186223981
"D00636cds_s_at",-1.8768841853063,8.89035462920501,-7.78224194532089,1.09859518114916e-05,0.000459201578330061,3.74707563937553
"M91599mRNA_g_at",-1.86891634497473,7.00502575205578,-13.7167679789842,4.6820739759689e-08,2.74650459430335e-05,9.15952108697138
"AB004276_s_at",-1.8546431978078,6.69089141778838,-8.07517187156302,7.83672524764618e-06,0.000370727663731391,4.09254534509941
"M36151cds_s_at",1.8488192691516,11.2681086439934,12.8669336313365,8.8701647474311e-08,3.45690662071365e-05,8.551216485493
"rc_AA800797_at",-1.84010656276858,9.81463589920271,-12.4197676801506,1.26059623373613e-07,4.10814305949785e-05,8.21293151178388
"rc_AA799497_g_at",-1.83944997942407,8.05000979606394,-13.9660436557083,3.90821063089096e-08,2.7227337219205e-05,9.32985773018155
"M29866_s_at",1.83930427572325,9.30741314373442,11.0708503232918,3.90991253012986e-07,6.74574908874758e-05,7.10775962340949
"rc_AI010453_at",-1.83864547977736,7.72162193776354,-11.6465612488224,2.37860721005801e-07,5.2826790292623e-05,7.59579960208583
"rc_AA799423_at",-1.83555869101309,6.33370883431154,-8.58074179192875,4.46747411631514e-06,0.000255255225645824,4.66527302387903
"X52477_at",1.83087086010604,8.79620081452538,12.6887636919807,1.0190116849584e-07,3.73595158997873e-05,8.41799609652034
"U10894_s_at",1.82822666848366,7.97534821779614,10.1251273219398,9.29874933675916e-07,9.74043993025522e-05,6.24777935274847
"M18331_at",-1.82099264742879,5.79666226183285,-7.86361988341844,9.9926331913496e-06,0.000441239802142373,3.8440827194111
