##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	B009952_2.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	11393701
Total Bases	1.7 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.05705319105706	37.0	37.0	37.0	37.0	37.0
2	36.06318447359642	37.0	37.0	37.0	37.0	37.0
3	36.08401896802452	37.0	37.0	37.0	37.0	37.0
4	36.069743009756	37.0	37.0	37.0	37.0	37.0
5	36.09401835277229	37.0	37.0	37.0	37.0	37.0
6	36.0466558671322	37.0	37.0	37.0	37.0	37.0
7	36.01680147653515	37.0	37.0	37.0	37.0	37.0
8	36.08579731906252	37.0	37.0	37.0	37.0	37.0
9	36.08213985955924	37.0	37.0	37.0	37.0	37.0
10-14	36.084070119094754	37.0	37.0	37.0	37.0	37.0
15-19	36.044528147614194	37.0	37.0	37.0	37.0	37.0
20-24	36.039555663256394	37.0	37.0	37.0	37.0	37.0
25-29	35.994256633555686	37.0	37.0	37.0	37.0	37.0
30-34	35.963026500344355	37.0	37.0	37.0	37.0	37.0
35-39	35.9435108047859	37.0	37.0	37.0	37.0	37.0
40-44	35.92041133956385	37.0	37.0	37.0	37.0	37.0
45-49	35.8935498833961	37.0	37.0	37.0	37.0	37.0
50-54	35.815314268822746	37.0	37.0	37.0	37.0	37.0
55-59	35.79159872634889	37.0	37.0	37.0	37.0	37.0
60-64	35.76975844811093	37.0	37.0	37.0	37.0	37.0
65-69	35.737401797712614	37.0	37.0	37.0	37.0	37.0
70-74	35.65538240822714	37.0	37.0	37.0	37.0	37.0
75-79	35.69552546622033	37.0	37.0	37.0	37.0	37.0
80-84	35.582888053671056	37.0	37.0	37.0	37.0	37.0
85-89	35.571731766526085	37.0	37.0	37.0	37.0	37.0
90-94	35.51720046014899	37.0	37.0	37.0	37.0	37.0
95-99	35.46695392480459	37.0	37.0	37.0	37.0	37.0
100-104	35.49757472133067	37.0	37.0	37.0	37.0	37.0
105-109	35.46325068562007	37.0	37.0	37.0	37.0	37.0
110-114	35.24297023416711	37.0	37.0	37.0	27.4	37.0
115-119	35.174200270833865	37.0	37.0	37.0	29.8	37.0
120-124	35.16404587060868	37.0	37.0	37.0	25.0	37.0
125-129	35.129156891162935	37.0	37.0	37.0	25.0	37.0
130-134	35.12482579628867	37.0	37.0	37.0	27.4	37.0
135-139	34.93840579105946	37.0	37.0	37.0	25.0	37.0
140-144	34.82401611206052	37.0	37.0	37.0	25.0	37.0
145-149	34.69006606369607	37.0	37.0	37.0	25.0	37.0
150	34.66027807821181	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.12998184652124678
1101	2	-0.021743953536088156
1101	3	-0.1846200874840349
1101	4	-0.4739838605961495
1101	5	0.05439737250707566
1101	6	-0.09193427753481132
1101	7	-0.2566500330821242
1101	8	-0.12907878566242914
1101	9	0.11576300165936715
1101	10-14	-0.36848917486827304
1101	15-19	-0.16213330504020007
1101	20-24	-0.20777853317070338
1101	25-29	-0.0830887873953472
1101	30-34	-0.15447659121026902
1101	35-39	-0.07279437855665805
1101	40-44	-0.2183629804913565
1101	45-49	-0.17016161659109486
1101	50-54	-0.11117641886499996
1101	55-59	-0.12422126229429153
1101	60-64	-0.20265808661085316
1101	65-69	-0.10798591762678456
1101	70-74	-0.21388349381528116
1101	75-79	-0.3080187314464453
1101	80-84	-0.20011630249435797
1101	85-89	-0.37069295985970996
1101	90-94	-0.2946846228155806
1101	95-99	-0.30942362883128993
1101	100-104	-0.42324796418179034
1101	105-109	-0.5296585375560809
1101	110-114	-0.21678824571699096
1101	115-119	-0.09738625394261646
1101	120-124	-0.25286961148871256
1101	125-129	-0.2928507823356412
1101	130-134	-0.3602368429647953
1101	135-139	-0.4550779100789626
1101	140-144	-0.555573615671932
1101	145-149	-0.42099486869577873
1101	150	-0.5628809562595052
1102	1	0.09815318562380781
1102	2	-0.6029243375569067
1102	3	-0.1752904462412772
1102	4	-0.29365055177495236
1102	5	0.13723618349960276
1102	6	-0.04888614091942145
1102	7	-0.057256567857415064
1102	8	-0.4084131645790947
1102	9	-0.015974551297901485
1102	10-14	-0.1280228495230844
1102	15-19	-0.15228794448473337
1102	20-24	-0.0986892635801837
1102	25-29	-0.09146676295794265
1102	30-34	-0.19162779855363254
1102	35-39	-0.32024166439993706
1102	40-44	-0.04354536888176597
1102	45-49	-0.2379716097477882
1102	50-54	-0.16029398591071953
1102	55-59	-0.00337413887407223
1102	60-64	-0.16029593624536176
1102	65-69	-0.13784359854545158
1102	70-74	-0.19377209619344882
1102	75-79	-0.13172007234076943
1102	80-84	-0.3149079473110703
1102	85-89	-0.1536099605544834
1102	90-94	-0.247472026630561
1102	95-99	-0.32122655284808843
1102	100-104	-0.22669726403876922
1102	105-109	-0.3134700946675508
1102	110-114	-0.20005871948037424
1102	115-119	-0.11895066681864108
1102	120-124	0.2219606901753437
1102	125-129	-0.3976974428381084
1102	130-134	-0.44439493741528935
1102	135-139	-0.14476256744949723
1102	140-144	-0.2150264324179858
1102	145-149	-0.4223824968169012
1102	150	0.24443169766968964
1103	1	0.011198728379497425
1103	2	-0.2795487508962964
1103	3	-0.007871615295876211
1103	4	-0.1308059531815644
1103	5	-0.35655519241737466
1103	6	-0.42938629919736115
1103	7	-0.010238386539718647
1103	8	-0.08994694659597258
1103	9	-0.3452091742523322
1103	10-14	-0.21319014241985457
1103	15-19	-0.09497068668437691
1103	20-24	-0.19343553716703354
1103	25-29	-0.1381418252368718
1103	30-34	-0.20848123318484113
1103	35-39	-0.16886960114381822
1103	40-44	-0.24603184644070808
1103	45-49	-0.2332912623621226
1103	50-54	-0.43651871305333145
1103	55-59	0.03148664535869017
1103	60-64	-0.2412767089169563
1103	65-69	-0.329709764228042
1103	70-74	-0.07939522954605138
1103	75-79	-0.32949702432062367
1103	80-84	-0.27155685932230256
1103	85-89	-0.33364739672718
1103	90-94	-0.28574197997297546
1103	95-99	-0.2256613629833808
1103	100-104	-0.22917603415039167
