##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	B50995s3_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	16035922
Total Bases	2.4 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.38942269736658	37.0	37.0	37.0	37.0	37.0
2	36.35434152149156	37.0	37.0	37.0	37.0	37.0
3	36.412666636817015	37.0	37.0	37.0	37.0	37.0
4	36.40780505168334	37.0	37.0	37.0	37.0	37.0
5	36.442159172388095	37.0	37.0	37.0	37.0	37.0
6	36.39206813303282	37.0	37.0	37.0	37.0	37.0
7	36.33803662801553	37.0	37.0	37.0	37.0	37.0
8	36.419641851587954	37.0	37.0	37.0	37.0	37.0
9	36.38944302672463	37.0	37.0	37.0	37.0	37.0
10-14	36.403001885392065	37.0	37.0	37.0	37.0	37.0
15-19	36.378616284115125	37.0	37.0	37.0	37.0	37.0
20-24	36.35493175883495	37.0	37.0	37.0	37.0	37.0
25-29	36.291692987780806	37.0	37.0	37.0	37.0	37.0
30-34	36.276264501660705	37.0	37.0	37.0	37.0	37.0
35-39	36.244733979125115	37.0	37.0	37.0	37.0	37.0
40-44	36.221304556108464	37.0	37.0	37.0	37.0	37.0
45-49	36.21209776400758	37.0	37.0	37.0	37.0	37.0
50-54	36.18994567322041	37.0	37.0	37.0	37.0	37.0
55-59	36.16499524006166	37.0	37.0	37.0	37.0	37.0
60-64	36.13020342703088	37.0	37.0	37.0	37.0	37.0
65-69	36.120082699329664	37.0	37.0	37.0	37.0	37.0
70-74	36.08813753272185	37.0	37.0	37.0	37.0	37.0
75-79	36.054430147515056	37.0	37.0	37.0	37.0	37.0
80-84	36.05626944306663	37.0	37.0	37.0	37.0	37.0
85-89	36.01358249310517	37.0	37.0	37.0	37.0	37.0
90-94	36.01251906812717	37.0	37.0	37.0	37.0	37.0
95-99	35.94682639389241	37.0	37.0	37.0	37.0	37.0
100-104	35.865893697911474	37.0	37.0	37.0	37.0	37.0
105-109	35.85770967207249	37.0	37.0	37.0	37.0	37.0
110-114	35.83045489994276	37.0	37.0	37.0	37.0	37.0
115-119	35.855138569519106	37.0	37.0	37.0	37.0	37.0
120-124	35.77250142523766	37.0	37.0	37.0	37.0	37.0
125-129	35.63880570134976	37.0	37.0	37.0	37.0	37.0
130-134	35.612992455313766	37.0	37.0	37.0	37.0	37.0
135-139	35.57821493519363	37.0	37.0	37.0	37.0	37.0
140-144	35.545805298878356	37.0	37.0	37.0	37.0	37.0
145-149	35.596102400597864	37.0	37.0	37.0	37.0	37.0
150	35.43781130888514	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.0914871121578642
1101	2	-0.09991312009157127
1101	3	-0.0049653029833933715
1101	4	-0.026022278719388225
1101	5	-0.13003974578403898
1101	6	-0.18135908039455728
1101	7	-0.09056819149014217
1101	8	-0.01007666656567352
1101	9	-0.03418099624934001
1101	10-14	-0.06154857567901928
1101	15-19	-0.04912001546896505
1101	20-24	-0.2973824429730598
1101	25-29	-0.08806293548573052
1101	30-34	-0.06678711973869866
1101	35-39	-0.05413254599599071
1101	40-44	-0.09751090206195556
1101	45-49	0.020158714169355108
1101	50-54	-0.06074124203875897
1101	55-59	-0.11068724639062566
1101	60-64	-0.29541378083330727
1101	65-69	-0.21105560136206947
1101	70-74	-0.4592518697401573
1101	75-79	-0.22430536993137196
1101	80-84	-0.3116320346814234
1101	85-89	-0.19811059970644607
1101	90-94	-0.17162153611695885
1101	95-99	-0.18060491503501908
1101	100-104	-0.18729817245087332
1101	105-109	-0.20444478081908812
1101	110-114	-0.2036897827310895
1101	115-119	-0.0887683363209888
1101	120-124	-0.21584792080843584
1101	125-129	-0.21210094614552588
1101	130-134	-0.5086207370820688
1101	135-139	-0.30937451829645113
1101	140-144	-0.6212415662290383
1101	145-149	-0.4659833844013903
1101	150	-0.9267645533485478
1102	1	-0.04294883356772061
1102	2	-0.05572195651082268
1102	3	-0.14408205061799606
1102	4	0.03242743552526406
1102	5	0.022081573801870036
1102	6	0.08950200066001912
1102	7	-0.010993603936299223
1102	8	-0.028158609742369833
1102	9	-0.3420482182398388
1102	10-14	-0.08726823654729543
1102	15-19	-0.12395819713937328
1102	20-24	-0.14209904176905042
1102	25-29	-0.0695416631842889
1102	30-34	-0.06987108795332375
1102	35-39	-0.11952874483524312
1102	40-44	-0.10187678981104398
1102	45-49	-0.05512860277963938
1102	50-54	-0.20174836090345138
1102	55-59	-0.12905618748049363
1102	60-64	-0.17103467492616886
1102	65-69	-0.09199687123213351
1102	70-74	-0.18148255480747366
1102	75-79	-0.12778272611169683
1102	80-84	-0.06607680823651663
1102	85-89	-0.19974826097905662
1102	90-94	-0.11281047182015413
1102	95-99	-0.27112199486986555
1102	100-104	-0.33992618809504904
1102	105-109	-0.23056246406822822
1102	110-114	-0.14481625457768388
1102	115-119	-0.19135947814013576
1102	120-124	-0.09874370490111062
1102	125-129	-0.12839165427744348
1102	130-134	-0.4296863704756646
1102	135-139	-0.18242875237202583
1102	140-144	-0.2275485015305918
1102	145-149	-0.3164488408812076
1102	150	-0.041290691114262756
1103	1	-0.26200324980716516
1103	2	-0.32256931603021144
1103	3	-0.01870538754621265
1103	4	-0.3105410929243746
1103	5	-0.1757563669883666
1103	6	-0.30473030597104156
1103	7	0.06034317528212796
1103	8	-0.1857795644907938
1103	9	-0.24196082362204407
1103	10-14	-0.14461498936460515
1103	15-19	-0.18886200156378408
