##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	B009951_2.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	17258505
Total Bases	2.5 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.102444099300605	37.0	37.0	37.0	37.0	37.0
2	36.156376638648595	37.0	37.0	37.0	37.0	37.0
3	36.166610607349824	37.0	37.0	37.0	37.0	37.0
4	36.14576494313963	37.0	37.0	37.0	37.0	37.0
5	36.17491868501936	37.0	37.0	37.0	37.0	37.0
6	36.14070564049435	37.0	37.0	37.0	37.0	37.0
7	36.09962896554482	37.0	37.0	37.0	37.0	37.0
8	36.13399381927925	37.0	37.0	37.0	37.0	37.0
9	36.12645446404541	37.0	37.0	37.0	37.0	37.0
10-14	36.15391731786734	37.0	37.0	37.0	37.0	37.0
15-19	36.11753211532517	37.0	37.0	37.0	37.0	37.0
20-24	36.111853836702544	37.0	37.0	37.0	37.0	37.0
25-29	36.06969471573581	37.0	37.0	37.0	37.0	37.0
30-34	36.03769965011453	37.0	37.0	37.0	37.0	37.0
35-39	36.0165028315025	37.0	37.0	37.0	37.0	37.0
40-44	35.99765436229847	37.0	37.0	37.0	37.0	37.0
45-49	35.96718519941328	37.0	37.0	37.0	37.0	37.0
50-54	35.89437024817619	37.0	37.0	37.0	37.0	37.0
55-59	35.86797601530375	37.0	37.0	37.0	37.0	37.0
60-64	35.84977485593335	37.0	37.0	37.0	37.0	37.0
65-69	35.81683483013158	37.0	37.0	37.0	37.0	37.0
70-74	35.73665395699106	37.0	37.0	37.0	37.0	37.0
75-79	35.77607220324124	37.0	37.0	37.0	37.0	37.0
80-84	35.66716144880452	37.0	37.0	37.0	37.0	37.0
85-89	35.65615469010787	37.0	37.0	37.0	37.0	37.0
90-94	35.60206302921371	37.0	37.0	37.0	37.0	37.0
95-99	35.55452235289209	37.0	37.0	37.0	37.0	37.0
100-104	35.57877497500508	37.0	37.0	37.0	37.0	37.0
105-109	35.54580578097581	37.0	37.0	37.0	37.0	37.0
110-114	35.33174597683867	37.0	37.0	37.0	34.6	37.0
115-119	35.265793972305254	37.0	37.0	37.0	29.8	37.0
120-124	35.25324595612424	37.0	37.0	37.0	32.2	37.0
125-129	35.21880708670884	37.0	37.0	37.0	27.4	37.0
130-134	35.21485078806073	37.0	37.0	37.0	27.4	37.0
135-139	35.03085691373616	37.0	37.0	37.0	25.0	37.0
140-144	34.916723737079195	37.0	37.0	37.0	25.0	37.0
145-149	34.78330183292238	37.0	37.0	37.0	25.0	37.0
150	34.752732174658234	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.25174198331453823
1101	2	-0.022964678076000666
1101	3	-0.05615381393240426
1101	4	-0.33929028964617913
1101	5	0.019840826403211054
1101	6	-0.0892834585278095
1101	7	-0.16375300270926374
1101	8	-0.11367515372859316
1101	9	0.046878794850300665
1101	10-14	-0.44228648634763346
1101	15-19	-0.20221517999433303
1101	20-24	-0.23941690928455017
1101	25-29	-0.06421173229600186
1101	30-34	-0.09709722809153476
1101	35-39	-0.06782051622942475
1101	40-44	-0.20623729660322
1101	45-49	-0.15492780976774156
1101	50-54	-0.07357616020512125
1101	55-59	-0.10530997386828034
1101	60-64	-0.1342671941603868
1101	65-69	-0.06714821306995589
1101	70-74	-0.2508873406472958
1101	75-79	-0.3469696327815015
1101	80-84	-0.15973404252500245
1101	85-89	-0.4436054243448311
1101	90-94	-0.2955230853304798
1101	95-99	-0.24927052792160964
1101	100-104	-0.43231574382216564
1101	105-109	-0.5390754395378963
1101	110-114	-0.2916367193533844
1101	115-119	-0.08462765717186471
1101	120-124	-0.15648698695953556
1101	125-129	-0.2739512252593883
1101	130-134	-0.26028884861992196
1101	135-139	-0.4620989448349775
1101	140-144	-0.4840510671148124
1101	145-149	-0.4212539147118264
1101	150	-0.5119934070445495
1102	1	0.033491682305431425
1102	2	-0.4493835592755673
1102	3	-0.30124711558859474
1102	4	-0.3923176690244432
1102	5	-0.0148967792270156
1102	6	-0.03545230078871242
1102	7	-0.22237148203974044
1102	8	-0.5081485649231894
1102	9	-0.13281196337559464
1102	10-14	-0.1264904038332162
1102	15-19	-0.18160732311106642
1102	20-24	-0.09680654365678265
1102	25-29	-0.1394677207410382
1102	30-34	-0.2191306467535128
1102	35-39	-0.37552890535978634
1102	40-44	-0.1120899860422
1102	45-49	-0.278012989084921
1102	50-54	-0.1364003164161005
1102	55-59	-0.12084496900634178
1102	60-64	-0.24158449952656724
1102	65-69	-0.08259825112489949
1102	70-74	-0.2341722855994206
1102	75-79	-0.2106176718545214
1102	80-84	-0.3053503825638231
1102	85-89	-0.16965516400561143
1102	90-94	-0.3308922655317872
1102	95-99	-0.3924628596109372
1102	100-104	-0.1832173182295591
1102	105-109	-0.2148510319302801
1102	110-114	-0.21593467609536532
1102	115-119	-0.2258060038809191
1102	120-124	-0.034124043270921334
1102	125-129	-0.19298403204960124
1102	130-134	-0.3516267710416514
1102	135-139	-0.25347140241141375
1102	140-144	-0.3470767101952461
1102	145-149	-0.5819258147749835
1102	150	0.08533482324016006
1103	1	0.19566009921248906
1103	2	-0.0674275608729289
1103	3	0.006511759857183108
1103	4	0.04970515278396448
1103	5	-0.34325948978295173
1103	6	-0.013733098876294036
1103	7	-0.020603773561703065
1103	8	-0.04158593342314987
1103	9	-0.31097774469932205
1103	10-14	-0.09235194348600828
1103	15-19	-0.056622671729897434
1103	20-24	-0.10775743880680011
1103	25-29	-0.07060881406151509
1103	30-34	-0.04947749798834877
1103	35-39	-0.19469053581376983
1103	40-44	-0.13408411456110514
1103	45-49	-0.219953245909295
1103	50-54	-0.26430707801556963
1103	55-59	-0.12531908051924745
1103	60-64	-0.06061643886407353
1103	65-69	-0.2764659377654084
1103	70-74	0.02906042788268337
1103	75-79	-0.31128697893797863
1103	80-84	-0.20371233620157625
1103	85-89	-0.17057355807461505
1103	90-94	-0.2439072272813121
1103	95-99	-0.16651553009660347
1103	100-104	-0.08666170199810352
1103	105-109	-0.17400018628445935
1103	110-114	-0.3366420726941044
1103	115-119	-0.09833378872359333
1103	120-124	-0.11693912931743711
1103	125-129	-0.13617653896554316
1103	130-134	-0.09384676858818608
1103	135-139	-0.11901535543260877
1103	140-144	-0.24706351487816391
1103	145-149	-0.5078312382823142
1103	150	-0.45427070348064547
1104	1	0.04264378188027251
1104	2	-0.10409920829611252
1104	3	-0.09216650936302528
1104	4	-0.07077113059810358
1104	5	-0.009951079703519383
1104	6	-0.06917838201419357
1104	7	-0.7172231288828002
1104	8	-0.10104950711400562
1104	9	-0.10388419721292763
1104	10-14	-0.21481161162510176
1104	15-19	-0.23841892179268598
1104	20-24	-0.3151831275940111
1104	25-29	-0.2643488325904002
1104	30-34	-0.07938236514935681
1104	35-39	-0.12918100909467256
1104	40-44	-0.2068736458598508
1104	45-49	-0.11031086734298157
1104	50-54	-0.04258190595750477
1104	55-59	-0.19057041790494367
1104	60-64	-0.05082942753995923
1104	65-69	-0.38481234607139214
1104	70-74	-0.222702327663427
1104	75-79	-0.23678019650279936
1104	80-84	-0.2018900569154738
1104	85-89	-0.31539569366256615
1104	90-94	-0.4199923526550151
1104	95-99	-0.3228169270060448
1104	100-104	-0.224365989927108
1104	105-109	-0.419478309703635
1104	110-114	-0.23196475678835782
1104	115-119	-0.11590141154752587
1104	120-124	-0.25639454843115317
1104	125-129	-0.451012027965632
1104	130-134	-0.3119092737724216
1104	135-139	-0.2742911215013919
1104	140-144	-0.3162100063655089
1104	145-149	-0.3832340895804478
1104	150	-0.7714270926151983
1105	1	0.03370919003619122
1105	2	-0.16469583969755774
1105	3	0.005640169970625664
1105	4	-0.6001073185292043
1105	5	0.05208446263659994
1105	6	0.023239023789393798
1105	7	-0.12767823096458386
1105	8	-0.040554432003688135
1105	9	5.526825560764337E-6
1105	10-14	-0.007074321217800161
