##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	B50981_2.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	14475235
Total Bases	2.1 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.13281283516295	37.0	37.0	37.0	37.0	37.0
2	36.15558365719106	37.0	37.0	37.0	37.0	37.0
3	36.1667653754844	37.0	37.0	37.0	37.0	37.0
4	36.13834835842043	37.0	37.0	37.0	37.0	37.0
5	36.166381202101384	37.0	37.0	37.0	37.0	37.0
6	36.13020064959222	37.0	37.0	37.0	37.0	37.0
7	36.086955617646275	37.0	37.0	37.0	37.0	37.0
8	36.138696539296255	37.0	37.0	37.0	37.0	37.0
9	36.14765763733715	37.0	37.0	37.0	37.0	37.0
10-14	36.151533194452455	37.0	37.0	37.0	37.0	37.0
15-19	36.117743718841176	37.0	37.0	37.0	37.0	37.0
20-24	36.11297134727001	37.0	37.0	37.0	37.0	37.0
25-29	36.074310448155074	37.0	37.0	37.0	37.0	37.0
30-34	36.04272614572406	37.0	37.0	37.0	37.0	37.0
35-39	36.02296815215781	37.0	37.0	37.0	37.0	37.0
40-44	36.006012365256936	37.0	37.0	37.0	37.0	37.0
45-49	35.97590390760495	37.0	37.0	37.0	37.0	37.0
50-54	35.90504123767248	37.0	37.0	37.0	37.0	37.0
55-59	35.87767260427896	37.0	37.0	37.0	37.0	37.0
60-64	35.85569086788574	37.0	37.0	37.0	37.0	37.0
65-69	35.82110351921748	37.0	37.0	37.0	37.0	37.0
70-74	35.74369493828598	37.0	37.0	37.0	37.0	37.0
75-79	35.781669271690575	37.0	37.0	37.0	37.0	37.0
80-84	35.67529577240024	37.0	37.0	37.0	37.0	37.0
85-89	35.66459316204538	37.0	37.0	37.0	37.0	37.0
90-94	35.613537465885706	37.0	37.0	37.0	37.0	37.0
95-99	35.568094017126484	37.0	37.0	37.0	37.0	37.0
100-104	35.58804244628844	37.0	37.0	37.0	37.0	37.0
105-109	35.557314060877076	37.0	37.0	37.0	37.0	37.0
110-114	35.34519246146954	37.0	37.0	37.0	37.0	37.0
115-119	35.282388368824414	37.0	37.0	37.0	29.8	37.0
120-124	35.2669767502911	37.0	37.0	37.0	34.6	37.0
125-129	35.23106149226593	37.0	37.0	37.0	27.4	37.0
130-134	35.22535215490457	37.0	37.0	37.0	27.4	37.0
135-139	35.04512571989331	37.0	37.0	37.0	25.0	37.0
140-144	34.93380150304987	37.0	37.0	37.0	25.0	37.0
145-149	34.80036380756513	37.0	37.0	37.0	25.0	37.0
150	34.77147030773594	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.11895242782681237
1101	2	0.026206570829700127
1101	3	0.017471832920250563
1101	4	-0.233479437863366
1101	5	0.09032820044529188
1101	6	-0.0320797299046518
1101	7	-0.13914634498468814
1101	8	-0.05411008260261241
1101	9	0.0638938441257082
1101	10-14	-0.36612774252898106
1101	15-19	-0.1627126884189778
1101	20-24	-0.1828866419677979
1101	25-29	-0.05414987630182111
1101	30-34	-0.04384356680338186
1101	35-39	-0.037150177618265445
1101	40-44	-0.2318640399498264
1101	45-49	-0.12434912679491816
1101	50-54	-0.10846257054053154
1101	55-59	-0.09811052272219456
1101	60-64	-0.14333787811212773
1101	65-69	-0.04643819087880274
1101	70-74	-0.23285217434310823
1101	75-79	-0.29025382298387115
1101	80-84	-0.12999451619463542
1101	85-89	-0.3828253407111788
1101	90-94	-0.24588531898384502
1101	95-99	-0.2364378068569124
1101	100-104	-0.3731294958783522
1101	105-109	-0.5312638156586971
1101	110-114	-0.2687550648992101
1101	115-119	-0.08199525842056943
1101	120-124	-0.15669462450778582
1101	125-129	-0.23177877303952243
1101	130-134	-0.29583526541141936
1101	135-139	-0.4494506277060353
1101	140-144	-0.46761149543394964
1101	145-149	-0.39000368378383143
1101	150	-0.3721556863174129
1102	1	-0.003175225842717566
1102	2	-0.6003036074046193
1102	3	-0.4245661694625795
1102	4	-0.3767240466252204
1102	5	0.14441639246452098
1102	6	-0.21289146244052404
1102	7	-0.11130683438655353
1102	8	-0.5769569157942698
1102	9	-0.12779424411410645
1102	10-14	-0.11368858491741207
1102	15-19	-0.16019074624185947
1102	20-24	-0.20207217839470815
1102	25-29	-0.3047488269007701
1102	30-34	-0.287447306958839
1102	35-39	-0.3408046467899766
1102	40-44	-0.15668097511159118
1102	45-49	-0.21755498896630598
1102	50-54	-0.15543197268235787
1102	55-59	-0.17521589637929935
1102	60-64	-0.29198311296426027
1102	65-69	-0.17729174242200685
1102	70-74	-0.18528262677355656
1102	75-79	-0.2267831526166475
1102	80-84	-0.2821259200501771
1102	85-89	-0.16954362398118406
1102	90-94	-0.2565469468868571
1102	95-99	-0.37661443668871186
1102	100-104	-0.2599443895897906
1102	105-109	-0.3771749408801668
1102	110-114	-0.24249955588507532
1102	115-119	-0.4293848989136677
1102	120-124	-0.02209101749038922
1102	125-129	-0.3267932646057403
1102	130-134	-0.450801144515232
1102	135-139	-0.22797102001953107
1102	140-144	-0.22732664825255
1102	145-149	-0.48904816213866553
1102	150	-0.021181559481213696
1103	1	-0.01562988829737577
1103	2	-0.12121152831253568
1103	3	-0.08142237631878402
1103	4	-0.05814442804560116
1103	5	-0.326813278765151
1103	6	-0.26041690996596856
1103	7	-0.34139926447898716
1103	8	0.028214489377134555
1103	9	-0.5587524750723318
1103	10-14	-0.26218513341395777
1103	15-19	-0.19981868586980767
1103	20-24	-0.2782064945290301
1103	25-29	-0.14815587030781074
1103	30-34	-0.17228409179562476
1103	35-39	-0.3299470359323635
1103	40-44	-0.3507982092288202
1103	45-49	-0.3608333322446384
1103	50-54	-0.5195480367984189
1103	55-59	-0.29819939936280093
1103	60-64	-0.25440267538381534
1103	65-69	-0.47715368228394084
1103	70-74	-0.2944905359814669
1103	75-79	-0.4843776302111209
1103	80-84	-0.3640260019502648
1103	85-89	-0.23126586570343477
1103	90-94	-0.39876760910751585
1103	95-99	-0.24529584537012283
1103	100-104	-0.22168301132840895
1103	105-109	-0.2417870854923052
1103	110-114	-0.40135763474315667
1103	115-119	-0.40321197274073484
1103	120-124	-0.09468491008427549
1103	125-129	-0.23054896836144678
