##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	B50981_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	14475235
Total Bases	2.1 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.36838137688265	37.0	37.0	37.0	37.0	37.0
2	36.33272364835528	37.0	37.0	37.0	37.0	37.0
3	36.39241739425992	37.0	37.0	37.0	37.0	37.0
4	36.383549351703095	37.0	37.0	37.0	37.0	37.0
5	36.42063102947897	37.0	37.0	37.0	37.0	37.0
6	36.37002818952507	37.0	37.0	37.0	37.0	37.0
7	36.31090818214695	37.0	37.0	37.0	37.0	37.0
8	36.39217097339007	37.0	37.0	37.0	37.0	37.0
9	36.35711620571272	37.0	37.0	37.0	37.0	37.0
10-14	36.37029427156104	37.0	37.0	37.0	37.0	37.0
15-19	36.34450723597924	37.0	37.0	37.0	37.0	37.0
20-24	36.32177294530969	37.0	37.0	37.0	37.0	37.0
25-29	36.25506381070843	37.0	37.0	37.0	37.0	37.0
30-34	36.23931646014728	37.0	37.0	37.0	37.0	37.0
35-39	36.20575889786936	37.0	37.0	37.0	37.0	37.0
40-44	36.18181085143004	37.0	37.0	37.0	37.0	37.0
45-49	36.172361788945054	37.0	37.0	37.0	37.0	37.0
50-54	36.14910576581313	37.0	37.0	37.0	37.0	37.0
55-59	36.123232375847444	37.0	37.0	37.0	37.0	37.0
60-64	36.088383090153634	37.0	37.0	37.0	37.0	37.0
65-69	36.07671637800699	37.0	37.0	37.0	37.0	37.0
70-74	36.04449085627971	37.0	37.0	37.0	37.0	37.0
75-79	36.00980691505181	37.0	37.0	37.0	37.0	37.0
80-84	36.01081708172613	37.0	37.0	37.0	37.0	37.0
85-89	35.96824261575027	37.0	37.0	37.0	37.0	37.0
90-94	35.96463525462626	37.0	37.0	37.0	37.0	37.0
95-99	35.89831116386021	37.0	37.0	37.0	37.0	37.0
100-104	35.81343554007931	37.0	37.0	37.0	37.0	37.0
105-109	35.804867623910766	37.0	37.0	37.0	37.0	37.0
110-114	35.777308402937855	37.0	37.0	37.0	37.0	37.0
115-119	35.80445877389901	37.0	37.0	37.0	37.0	37.0
120-124	35.717518188823874	37.0	37.0	37.0	37.0	37.0
125-129	35.58337602118377	37.0	37.0	37.0	37.0	37.0
130-134	35.55579899048271	37.0	37.0	37.0	37.0	37.0
135-139	35.5210857578478	37.0	37.0	37.0	37.0	37.0
140-144	35.48885925513472	37.0	37.0	37.0	37.0	37.0
145-149	35.53930762436672	37.0	37.0	37.0	37.0	37.0
150	35.37625848561353	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.07140421756690074
1101	2	-0.12049517949415645
1101	3	-0.018866235758977723
1101	4	-0.05007240724691542
1101	5	-0.09063878901820033
1101	6	-0.22157413097569645
1101	7	-0.18372709126963116
1101	8	-0.015395287424652793
1101	9	-0.047151266339554354
1101	10-14	-0.04851627328840635
1101	15-19	-0.048872197734567635
1101	20-24	-0.31238735095705294
1101	25-29	-0.11926647818236091
1101	30-34	-0.11413352693421785
1101	35-39	-0.08022668485329376
1101	40-44	-0.11526811453803987
1101	45-49	0.007696071788267034
1101	50-54	-0.08622310203066519
1101	55-59	-0.16933620970780083
1101	60-64	-0.27876665290745706
1101	65-69	-0.281863328744258
1101	70-74	-0.46474074018802014
1101	75-79	-0.2641317572074158
1101	80-84	-0.30188401352391736
1101	85-89	-0.23080233370564684
1101	90-94	-0.22068600287894924
1101	95-99	-0.18348058468027517
1101	100-104	-0.264110426062409
1101	105-109	-0.24481934546803075
1101	110-114	-0.2846401503680056
1101	115-119	-0.11258718160571135
1101	120-124	-0.28096773674823083
1101	125-129	-0.21712674313195635
1101	130-134	-0.5516096501199854
1101	135-139	-0.3962752977935864
1101	140-144	-0.7282749801411512
1101	145-149	-0.49410755807698337
1101	150	-0.9155519617719747
1102	1	-0.06352261485771038
1102	2	-0.1119726364888578
1102	3	-0.13194995229097373
1102	4	-0.08997798163525061
1102	5	-0.005397996880851963
1102	6	-0.04741759475019336
1102	7	-0.20566414768944696
1102	8	-0.17852184710293528
1102	9	-0.18700426826152494
1102	10-14	-0.11124376015382609
1102	15-19	-0.19293714179950427
1102	20-24	-0.14015039251319905
1102	25-29	-0.15332524327561714
1102	30-34	-0.1678195737237118
1102	35-39	-0.24255868339218978
1102	40-44	-0.2753727815392537
1102	45-49	-0.15997254415621143
1102	50-54	-0.33821556436795674
1102	55-59	-0.3367016805215499
1102	60-64	-0.21871046181679077
1102	65-69	-0.2856574221935304
1102	70-74	-0.24974802864358736
1102	75-79	-0.3328002741517935
1102	80-84	-0.25920097428915767
1102	85-89	-0.4005706051980624
1102	90-94	-0.25206664460441885
1102	95-99	-0.24022232073235728
1102	100-104	-0.41029192396804604
1102	105-109	-0.3345561076185888
1102	110-114	-0.260618629794763
1102	115-119	-0.410025810078821
1102	120-124	-0.27258106284430994
1102	125-129	-0.22975335231029703
1102	130-134	-0.5968117298048199
1102	135-139	-0.353751000096878
1102	140-144	-0.410692221179076
1102	145-149	-0.40935237849421924
1102	150	-0.48080156150433595
1103	1	-0.1802419315770294
1103	2	-0.16064468516090358
1103	3	-0.1555605759015961
1103	4	-0.4743584660157367
1103	5	-0.012055303538161866
1103	6	-0.30293415026675063
1103	7	-0.1358852779105746
1103	8	-0.17530434388542915
1103	9	-0.27118585244310367
1103	10-14	-0.054627403537466535
1103	15-19	-0.18219887106123878
